id,name,SMILES,source_row,source_label
DH0106,二酐样本-106,O=C1OC(=O)c2cc(OCc3ccc(CCCCCCCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15162,4
DH0107,二酐样本-107,O=C1OC(=O)c2cc(OCc3ccc(CCCCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15163,4
DH0108,二酐样本-108,O=C1OC(=O)c2cc(OCc3ccc(CCOCCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15164,4
DH0109,二酐样本-109,O=C1OC(=O)c2cc(OCc3ccc(CCNCCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15167,4
DH0110,二酐样本-110,O=C1OC(=O)c2cc(OCc3ccc(CCSCCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15168,4
DH0111,二酐样本-111,CN(CCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)CCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15169,4
DH0112,二酐样本-112,CCC(c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)C(CC)c1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15170,4
DH0113,二酐样本-113,O=C1OC(=O)c2cc(OCc3ccc(CC(Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)c4ccccc4)o3)ccc21,15171,4
DH0114,二酐样本-114,CC(=O)OC(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15172,4
DH0115,二酐样本-115,O=C1OC(=O)c2cc(OCc3ccc(CC(Cc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)Oc4ccccc4)o3)ccc21,15173,4
DH0116,二酐样本-116,CC(=O)NC(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15174,4
DH0117,二酐样本-117,CN(C)C(Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)Cc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15175,4
DH0118,二酐样本-118,O=C1OC(=O)c2cc(OCc3ccc(CC#CCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15176,4
DH0119,二酐样本-119,O=C1OC(=O)c2cc(OCc3ccc(CC=CCc4ccc(COc5ccc6c(c5)C(=O)OC6=O)o4)o3)ccc21,15177,4
DH0120,二酐样本-120,O=C(CCCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1)OCCc1ccc(COc2ccc3c(c2)C(=O)OC3=O)o1,15179,4
