smiles,property_name,property_value,property_unit,label_source
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,1100.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,450.0000002,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,2000.000002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,1100.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,450.0000002,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,Co2 Permeability Barrer,37600.00001,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,H2 Permeability Barrer,24499.99998,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,O2 Permeability Barrer,13700.0,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,Co2 Permeability Barrer,37600.00001,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,H2 Permeability Barrer,24499.99998,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,O2 Permeability Barrer,13700.0,Barrer,sim
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,Co2 Permeability Barrer,11399.99999,Barrer,exp
*/C(=C(/*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,H2 Permeability Barrer,7699.999997,Barrer,exp
